ID,dataset,model,noise,noise-args,robust-method,loss-args,eval_loss,eval_accuracy,epochs,batch_size,best-hyperparameters,seed
LNSD-70,breast-cancer,simple-mlp,uniform,0,backward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.09175404161,0.9561403394,10,32,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 92, 'hidden_size_2': 23, 'dropout': 0.06944332285728046}",777
LNSD-35,breast-cancer,simple-mlp,uniform,0.05,backward,"[[[0.95, 0.05], [0.05, 0.95]]]",-0.1708114296,0.9649122953,10,32,"{'num_layers': 3, 'hidden_size_0': 23, 'hidden_size_1': 105, 'hidden_size_2': 75, 'dropout': 0.023942126889913352}",777
LNSD-40,breast-cancer,simple-mlp,uniform,0.1,backward,"[[[0.9, 0.1], [0.1, 0.9]]]",-0.5401055813,0.947368443,10,32,"{'num_layers': 3, 'hidden_size_0': 71, 'hidden_size_1': 112, 'hidden_size_2': 23, 'dropout': 0.11558907920338746}",777
LNSD-45,breast-cancer,simple-mlp,uniform,0.15,backward,"[[[0.85, 0.15], [0.15, 0.85]]]",-1.933163404,0.9210526347,10,32,"{'num_layers': 3, 'hidden_size_0': 23, 'hidden_size_1': 105, 'hidden_size_2': 75, 'dropout': 0.023942126889913352}",777
LNSD-50,breast-cancer,simple-mlp,uniform,0.2,backward,"[[[0.8, 0.2], [0.2, 0.8]]]",-1.626957655,0.947368443,10,32,"{'num_layers': 3, 'hidden_size_0': 23, 'hidden_size_1': 105, 'hidden_size_2': 75, 'dropout': 0.023942126889913352}",777
LNSD-55,breast-cancer,simple-mlp,uniform,0.25,backward,"[[[0.75, 0.25], [0.25, 0.75]]]",-3.027209282,0.9035087824,10,32,"{'num_layers': 3, 'hidden_size_0': 116, 'hidden_size_1': 66, 'hidden_size_2': 9, 'dropout': 0.14201395472711237}",777
LNSD-60,breast-cancer,simple-mlp,uniform,0.3,backward,"[[[0.7, 0.3], [0.3, 0.7]]]",-2.073504686,0.8771929741,10,32,"{'num_layers': 2, 'hidden_size_0': 30, 'hidden_size_1': 77, 'dropout': 0.027404967859856237}",777
LNSD-66,breast-cancer,simple-mlp,uniform,0,boot-hard,[],0.08768132329,0.9736841917,10,32,"{'num_layers': 3, 'hidden_size_0': 76, 'hidden_size_1': 14, 'hidden_size_2': 33, 'dropout': 0.10369916382442693}",777
LNSD-33,breast-cancer,simple-mlp,uniform,0.05,boot-hard,[],0.1433975548,0.9649122953,10,32,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 92, 'hidden_size_2': 23, 'dropout': 0.06944332285728046}",777
LNSD-38,breast-cancer,simple-mlp,uniform,0.1,boot-hard,[],0.194868803,0.9561403394,10,32,"{'num_layers': 3, 'hidden_size_0': 76, 'hidden_size_1': 14, 'hidden_size_2': 33, 'dropout': 0.10369916382442693}",777
LNSD-43,breast-cancer,simple-mlp,uniform,0.15,boot-hard,[],0.1851686835,0.9298245907,10,32,"{'num_layers': 3, 'hidden_size_0': 23, 'hidden_size_1': 105, 'hidden_size_2': 75, 'dropout': 0.023942126889913352}",777
LNSD-48,breast-cancer,simple-mlp,uniform,0.2,boot-hard,[],0.3330615461,0.9122806787,10,32,"{'num_layers': 2, 'hidden_size_0': 30, 'hidden_size_1': 8, 'dropout': 0.019615174932094165}",777
LNSD-53,breast-cancer,simple-mlp,uniform,0.25,boot-hard,[],0.3562367558,0.8947368264,10,32,"{'num_layers': 2, 'hidden_size_0': 126, 'hidden_size_1': 19, 'dropout': 0.13544343445855692}",777
LNSD-58,breast-cancer,simple-mlp,uniform,0.3,boot-hard,[],0.394985199,0.9210526347,10,32,"{'num_layers': 3, 'hidden_size_0': 14, 'hidden_size_1': 13, 'hidden_size_2': 23, 'dropout': 0.03863248112736484}",777
LNSD-64,breast-cancer,simple-mlp,uniform,0,boot-soft,[],0.09849816561,0.9649122953,10,32,"{'num_layers': 3, 'hidden_size_0': 76, 'hidden_size_1': 14, 'hidden_size_2': 33, 'dropout': 0.10369916382442693}",777
LNSD-32,breast-cancer,simple-mlp,uniform,0.05,boot-soft,[],0.1451345384,0.9649122953,10,32,"{'num_layers': 3, 'hidden_size_0': 23, 'hidden_size_1': 105, 'hidden_size_2': 75, 'dropout': 0.023942126889913352}",777
LNSD-37,breast-cancer,simple-mlp,uniform,0.1,boot-soft,[],0.2219996899,0.947368443,10,32,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 92, 'hidden_size_2': 23, 'dropout': 0.06944332285728046}",777
LNSD-42,breast-cancer,simple-mlp,uniform,0.15,boot-soft,[],0.3146170378,0.938596487,10,32,"{'num_layers': 2, 'hidden_size_0': 46, 'hidden_size_1': 30, 'dropout': 0.08958159258178024}",777
LNSD-47,breast-cancer,simple-mlp,uniform,0.2,boot-soft,[],0.2787462771,0.938596487,10,32,"{'num_layers': 3, 'hidden_size_0': 46, 'hidden_size_1': 57, 'hidden_size_2': 34, 'dropout': 0.0959919557490376}",777
