,sys/creation_time,sys/description,sys/hostname,sys/id,sys/modification_time,sys/name,sys/owner,sys/ping_time,sys/running_time,sys/size,sys/state,sys/tags,metrics/batch/accuracy,metrics/batch/loss,metrics/epoch/accuracy,metrics/epoch/loss,metrics/epoch/val_accuracy,metrics/epoch/val_loss,metrics/eval_accuracy,metrics/eval_loss,model/params/batch-size,model/params/dataset,model/params/epochs,model/params/loss-args,model/params/loss-kwargs,model/params/model,model/params/noise,model/params/noise-args,model/params/robust-method,model_summary,parameters/hyperparameters/dropout,parameters/hyperparameters/hidden_size_0,parameters/hyperparameters/hidden_size_1,parameters/hyperparameters/hidden_size_2,parameters/hyperparameters/num_layers,parameters/num-classes,parameters/num-features,source_code/entrypoint,source_code/git,monitoring/cpu,monitoring/memory,monitoring/stdout
0,2021-04-06 04:07:22.838000+00:00,,meriadoc,LAB-491,2021-04-06 04:08:01.876000+00:00,synthetic-50-2-100K-uniform-[0.25],ygorcanalli,2021-04-06 04:07:54.369000+00:00,31.53,966121.0,idle,fix-hyperparameters,0.7368906140327454,0.5702784061431885,0.7368906140327454,0.5702784061431885,0.7128124833106995,0.5929964184761047,0.9085000157356262,0.38382092118263245,32.0,synthetic-50-2-100K,20.0,"[array([[0.75, 0.25],
       [0.25, 0.75]])]",None,simple-mlp,uniform,0.25,forward,_________________________________________________________________,0.005073702428942628,82.0,84.0,13.0,3.0,2.0,50.0,main.py,bfe1b5d7ea9186374971062d77ddd3a65ac0a65d,24.7,7.013797760009766,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-491
"
1,2021-04-06 06:33:55.758000+00:00,,meriadoc,LAB-545,2021-04-06 06:37:48.530000+00:00,synthetic-100-5-500K-uniform-[0.1],ygorcanalli,2021-04-06 06:37:42.173000+00:00,226.403,4806894.0,idle,fix-hyperparameters,0.8402401208877563,0.5522398948669434,0.8402401208877563,0.5522398948669434,0.8442875146865845,0.5416370630264282,0.9356799721717834,0.25539708137512207,32.0,synthetic-100-5-500K,20.0,None,None,simple-mlp,uniform,0.1,boot-hard,_________________________________________________________________,0.004248038674119314,26.0,80.0,,2.0,5.0,100.0,main.py,bfe1b5d7ea9186374971062d77ddd3a65ac0a65d,18.1,10.360546112060547,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-545
"
2,2021-04-06 04:30:48.623000+00:00,,meriadoc,LAB-503,2021-04-06 04:32:12.822000+00:00,synthetic-80-5-200K-uniform-[0.05],ygorcanalli,2021-04-06 04:32:11.444000+00:00,82.816,1926361.0,idle,fix-hyperparameters,0.7393046617507935,0.7622146010398865,0.7393046617507935,0.7622146010398865,0.842843770980835,0.5606116652488708,0.8848249912261963,0.3915168344974518,32.0,synthetic-80-5-200K,20.0,None,None,simple-mlp,uniform,0.05,none,_________________________________________________________________,0.17542437598233224,58.0,47.0,94.0,3.0,5.0,80.0,main.py,bfe1b5d7ea9186374971062d77ddd3a65ac0a65d,21.7,8.084907531738281,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-503
"
3,2021-04-06 04:08:05.024000+00:00,,meriadoc,LAB-492,2021-04-06 04:08:42.341000+00:00,synthetic-50-2-100K-uniform-[0.25],ygorcanalli,2021-04-06 04:08:36.527000+00:00,31.502,966121.0,idle,fix-hyperparameters,0.7164687514305115,-0.3723714351654053,0.7164687514305115,-0.3723714351654053,0.6898750066757202,0.38437536358833313,0.8665000200271606,-3.156045913696289,32.0,synthetic-50-2-100K,20.0,"[array([[0.75, 0.25],
       [0.25, 0.75]])]",None,simple-mlp,uniform,0.25,backward,_________________________________________________________________,0.005073702428942628,82.0,84.0,13.0,3.0,2.0,50.0,main.py,bfe1b5d7ea9186374971062d77ddd3a65ac0a65d,23.5,6.9752044677734375,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-492
"
4,2021-04-06 04:44:14.433000+00:00,,meriadoc,LAB-512,2021-04-06 04:45:39.780000+00:00,synthetic-80-5-200K-uniform-[0.1],ygorcanalli,2021-04-06 04:45:37.092000+00:00,82.655,1926361.0,idle,fix-hyperparameters,0.6962890625,0.6144846081733704,0.6962890625,0.6144846081733704,0.7927500009536743,0.3825641870498657,0.8754500150680542,-0.12705187499523163,32.0,synthetic-80-5-200K,20.0,"[array([[0.9  , 0.025, 0.025, 0.025, 0.025],
       [0.025, 0.9  , 0.025, 0.025, 0.025],
       [0.025, 0.025, 0.9  , 0.025, 0.025],
       [0.025, 0.025, 0.025, 0.9  , 0.025],
       [0.025, 0.025, 0.025, 0.025, 0.9  ]])]",None,simple-mlp,uniform,0.1,backward,_________________________________________________________________,0.17542437598233224,58.0,47.0,94.0,3.0,5.0,80.0,main.py,bfe1b5d7ea9186374971062d77ddd3a65ac0a65d,22.1,8.193206787109375,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-512
"
5,2021-04-06 03:53:58.174000+00:00,,meriadoc,LAB-472,2021-04-06 03:54:33.968000+00:00,synthetic-50-2-100K-uniform-[0.05],ygorcanalli,2021-04-06 03:54:29.693000+00:00,31.517,966121.0,idle,fix-hyperparameters,0.9046406149864197,0.04852764308452606,0.9046406149864197,0.04852764308452606,0.8963124752044678,0.18053749203681946,0.9362000226974487,-0.20149323344230652,32.0,synthetic-50-2-100K,20.0,"[array([[0.95, 0.05],
       [0.05, 0.95]])]",None,simple-mlp,uniform,0.05,backward,_________________________________________________________________,0.005073702428942628,82.0,84.0,13.0,3.0,2.0,50.0,main.py,bfe1b5d7ea9186374971062d77ddd3a65ac0a65d,24.4,6.686069488525391,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-472
"
6,2021-04-06 03:52:34.234000+00:00,,meriadoc,LAB-470,2021-04-06 03:53:13.408000+00:00,synthetic-50-2-100K-uniform-[0.05],ygorcanalli,2021-04-06 03:53:05.656000+00:00,31.42,966121.0,idle,fix-hyperparameters,0.9160312414169312,0.2223585546016693,0.9160312414169312,0.2223585546016693,0.90625,0.25328579545021057,0.9482499957084656,0.1467074304819107,32.0,synthetic-50-2-100K,20.0,None,None,simple-mlp,uniform,0.05,boot-hard,_________________________________________________________________,0.005073702428942628,82.0,84.0,13.0,3.0,2.0,50.0,main.py,bfe1b5d7ea9186374971062d77ddd3a65ac0a65d,24.4,6.66326904296875,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-470
"
7,2021-04-06 05:09:57.883000+00:00,,meriadoc,LAB-529,2021-04-06 05:11:21.988000+00:00,synthetic-80-5-200K-uniform-[0.3],ygorcanalli,2021-04-06 05:11:20.675000+00:00,82.789,1926361.0,idle,fix-hyperparameters,0.5501562356948853,1.2563594579696655,0.5501562356948853,1.2563594579696655,0.6096875071525574,1.1887706518173218,0.8521249890327454,0.6966046094894409,32.0,synthetic-80-5-200K,20.0,None,None,simple-mlp,uniform,0.3,boot-soft,_________________________________________________________________,0.17542437598233224,58.0,47.0,94.0,3.0,5.0,80.0,main.py,bfe1b5d7ea9186374971062d77ddd3a65ac0a65d,21.3,8.42233657836914,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-529
"
8,2021-04-06 04:00:17.972000+00:00,,meriadoc,LAB-481,2021-04-06 04:01:00.687000+00:00,synthetic-50-2-100K-uniform-[0.15],ygorcanalli,2021-04-06 04:00:59.738000+00:00,41.764,966169.0,idle,fix-hyperparameters,0.8272968530654907,0.4478134214878082,0.8272968530654907,0.4478134214878082,0.807687520980835,0.4737287163734436,0.9319999814033508,0.2652318477630615,32.0,synthetic-50-2-100K,20.0,"[array([[0.85, 0.15],
       [0.15, 0.85]])]",None,simple-mlp,uniform,0.15,forward,_________________________________________________________________,0.005073702428942628,82.0,84.0,13.0,3.0,2.0,50.0,main.py,bfe1b5d7ea9186374971062d77ddd3a65ac0a65d,21.0,6.805164337158203,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-481
"
9,2021-04-06 04:57:47.560000+00:00,,meriadoc,LAB-521,2021-04-06 04:59:14.233000+00:00,synthetic-80-5-200K-uniform-[0.2],ygorcanalli,2021-04-06 04:59:10.246000+00:00,82.682,1926361.0,idle,fix-hyperparameters,0.6274921894073486,1.0824453830718994,0.6274921894073486,1.0824453830718994,0.7070000171661377,0.9545527696609497,0.8781999945640564,0.5347785353660583,32.0,synthetic-80-5-200K,20.0,"[array([[0.8 , 0.05, 0.05, 0.05, 0.05],
       [0.05, 0.8 , 0.05, 0.05, 0.05],
       [0.05, 0.05, 0.8 , 0.05, 0.05],
       [0.05, 0.05, 0.05, 0.8 , 0.05],
       [0.05, 0.05, 0.05, 0.05, 0.8 ]])]",None,simple-mlp,uniform,0.2,forward,_________________________________________________________________,0.17542437598233224,58.0,47.0,94.0,3.0,5.0,80.0,main.py,bfe1b5d7ea9186374971062d77ddd3a65ac0a65d,21.0,8.303337097167969,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-521
"
