,sys/creation_time,sys/description,sys/hostname,sys/id,sys/modification_time,sys/name,sys/owner,sys/ping_time,sys/running_time,sys/size,sys/state,sys/tags,metrics/batch/accuracy,metrics/batch/loss,metrics/epoch/accuracy,metrics/epoch/loss,metrics/epoch/val_accuracy,metrics/epoch/val_loss,metrics/eval_accuracy,metrics/eval_loss,model/params/batch-size,model/params/dataset,model/params/epochs,model/params/loss-args,model/params/loss-kwargs,model/params/model,model/params/noise,model/params/noise-args,model/params/robust-method,model_summary,parameters/hyperparameters/dropout,parameters/hyperparameters/hidden_size_0,parameters/hyperparameters/hidden_size_1,parameters/hyperparameters/hidden_size_2,parameters/hyperparameters/num_layers,parameters/num-classes,parameters/num-features,source_code/entrypoint,source_code/git,monitoring/cpu,monitoring/gpu,monitoring/gpu_memory,monitoring/memory,monitoring/stdout
0,2021-04-04 22:31:20.055000+00:00,,meriadoc,LAB-423,2021-04-04 22:35:41.063000+00:00,synthetic-100-5-500K-uniform-[0.05],ygorcanalli,2021-04-04 22:35:37.510000+00:00,257.439,4808390.0,idle,hyperparameter-rerun,0.8971496820449829,0.41941049695014954,0.8971496820449829,0.41941049695014954,0.9014875292778015,0.4137980341911316,0.9489799737930298,0.2090037763118744,32.0,synthetic-100-5-500K,20.0,None,None,simple-mlp,uniform,0.05,boot-soft,_________________________________________________________________,0.011758307824899263,92.0,55.0,24.0,3.0,5.0,100.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,26.4,8.0,5.68768310546875,11.029407501220703,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-423
"
1,2021-04-02 22:37:10.263000+00:00,,meriadoc,LAB-368,2021-04-02 22:37:23.442000+00:00,synthetic-50-2-100K-uniform-[0.3],ygorcanalli,2021-04-02 22:37:21.276000+00:00,11.012,244885.0,idle,hyperparameter-rerun,0.6243906021118164,0.653945803642273,0.6243906021118164,0.653945803642273,0.6346874833106995,0.6504440307617188,0.8385999798774719,0.5253153443336487,128.0,synthetic-50-2-100K,20.0,None,None,simple-mlp,uniform,0.3,none,_________________________________________________________________,0.19427086695213816,9.0,39.0,,2.0,2.0,50.0,main.py,877f5f997285690780c2e680ad9997a98baaf159,23.0,,,10.144954681396484,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-368
"
2,2021-04-04 17:27:49.070000+00:00,,meriadoc,LAB-411,2021-04-04 17:29:26.729000+00:00,synthetic-80-5-200K-uniform-[0.3],ygorcanalli,2021-04-04 17:29:22.311000+00:00,93.237,1926275.0,idle,hyperparameter-rerun,0.6187577843666077,1.1597145795822144,0.6187577843666077,1.1597145795822144,0.6227499842643738,1.1640572547912598,0.8736749887466431,0.6312488317489624,32.0,synthetic-80-5-200K,20.0,None,None,simple-mlp,uniform,0.3,none,_________________________________________________________________,0.015256373949917235,42.0,31.0,59.0,3.0,5.0,80.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,19.5,,,6.535911560058594,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-411
"
3,2021-04-04 17:10:07.670000+00:00,,meriadoc,LAB-405,2021-04-04 17:11:18.658000+00:00,synthetic-80-5-200K-uniform-[0.2],ygorcanalli,2021-04-04 17:10:49.525000+00:00,41.854,1926035.0,idle,hyperparameter-rerun,0.7017109394073486,0.8480958342552185,0.7017109394073486,0.8480958342552185,0.7120624780654907,0.8393115997314453,0.8844249844551086,0.42477700114250183,32.0,synthetic-80-5-200K,20.0,None,None,simple-mlp,uniform,0.2,boot-hard,_________________________________________________________________,0.026776423190087197,53.0,36.0,19.0,3.0,5.0,80.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,35.8,,,9.647403717041016,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-405
"
4,2021-04-04 17:02:57.400000+00:00,,meriadoc,LAB-400,2021-04-04 17:04:04.442000+00:00,synthetic-80-5-200K-uniform-[0.15],ygorcanalli,2021-04-04 17:03:39.164000+00:00,41.763,1926037.0,idle,hyperparameter-rerun,0.6959843635559082,0.49803051352500916,0.6959843635559082,0.49803051352500916,0.7409687638282776,0.39377301931381226,0.864300012588501,-0.5357288718223572,32.0,synthetic-80-5-200K,20.0,"[[[0.85, 0.0375, 0.0375, 0.0375, 0.0375], [0.0375, 0.85, 0.0375, 0.0375, 0.0375], [0.0375, 0.0375, 0.85, 0.0375, 0.0375], [0.0375, 0.0375, 0.0375, 0.85, 0.0375], [0.0375, 0.0375, 0.0375, 0.0375, 0.85]]]",None,simple-mlp,uniform,0.15,backward,_________________________________________________________________,0.09492830740244246,78.0,45.0,15.0,3.0,5.0,80.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,36.0,,,9.223026275634766,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-400
"
5,2021-04-02 22:35:02.811000+00:00,,meriadoc,LAB-367,2021-04-02 22:35:15.893000+00:00,synthetic-50-2-100K-uniform-[0.25],ygorcanalli,2021-04-02 22:35:13.788000+00:00,10.976,245074.0,idle,hyperparameter-rerun,0.7008749842643738,0.11676488816738129,0.7008749842643738,0.11676488816738129,0.6989374756813049,0.19618040323257446,0.8844000101089478,-1.9596498012542725,128.0,synthetic-50-2-100K,20.0,"[[[0.75, 0.25], [0.25, 0.75]]]",None,simple-mlp,uniform,0.25,backward,_________________________________________________________________,0.02205830741944419,23.0,73.0,73.0,3.0,2.0,50.0,main.py,877f5f997285690780c2e680ad9997a98baaf159,25.9,,,10.0908203125,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-367
"
6,2021-04-04 21:48:49.752000+00:00,,meriadoc,LAB-419,2021-04-04 21:52:56.110000+00:00,synthetic-100-5-500K-uniform-[0.0],ygorcanalli,2021-04-04 21:52:46.587000+00:00,236.824,4808010.0,idle,hyperparameter-rerun,0.9323529005050659,0.20348885655403137,0.9323529005050659,0.20348885655403137,0.9476249814033508,0.1677825003862381,0.9475299715995789,0.16987748444080353,32.0,synthetic-100-5-500K,20.0,None,None,simple-mlp,uniform,0.0,boot-hard,_________________________________________________________________,0.01588930401726807,47.0,27.0,,2.0,5.0,100.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,28.6,18.0,5.69903564453125,10.013412475585938,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-419
"
7,2021-04-04 16:48:10.861000+00:00,,meriadoc,LAB-382,2021-04-04 16:49:15.073000+00:00,synthetic-80-5-200K-uniform-[0.05],ygorcanalli,2021-04-04 16:49:02.868000+00:00,52.004,1925897.0,idle,hyperparameter-rerun,0.7754921913146973,0.7016202807426453,0.7754921913146973,0.7016202807426453,0.8409687280654907,0.5683127641677856,0.8861500024795532,0.3876314163208008,32.0,synthetic-80-5-200K,20.0,None,None,simple-mlp,uniform,0.05,none,_________________________________________________________________,0.10545111640536789,18.0,107.0,,2.0,5.0,80.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,33.3,,,8.465339660644531,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-382
"
8,2021-04-05 01:38:39.062000+00:00,,meriadoc,LAB-439,2021-04-05 01:43:47.166000+00:00,synthetic-100-5-500K-uniform-[0.2],ygorcanalli,2021-04-05 01:43:37.440000+00:00,298.363,4808748.0,idle,hyperparameter-rerun,0.6395645141601562,0.9499315619468689,0.6395645141601562,0.9499315619468689,0.7210875153541565,0.821474015712738,0.8887699842453003,0.43467777967453003,32.0,synthetic-100-5-500K,20.0,None,None,simple-mlp,uniform,0.2,boot-hard,_________________________________________________________________,0.1803702866125946,54.0,36.0,28.0,3.0,5.0,100.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,26.6,11.0,5.6204833984375,13.624195098876953,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-439
"
9,2021-04-04 16:52:52.528000+00:00,,meriadoc,LAB-389,2021-04-04 16:54:06.635000+00:00,synthetic-80-5-200K-uniform-[0.05],ygorcanalli,2021-04-04 16:53:44.739000+00:00,52.209,1925897.0,idle,hyperparameter-rerun,0.7746875286102295,0.5195937752723694,0.7746875286102295,0.5195937752723694,0.8430312275886536,0.3526935279369354,0.8850499987602234,0.08125866949558258,32.0,synthetic-80-5-200K,20.0,"[[[0.95, 0.0125, 0.0125, 0.0125, 0.0125], [0.0125, 0.95, 0.0125, 0.0125, 0.0125], [0.0125, 0.0125, 0.95, 0.0125, 0.0125], [0.0125, 0.0125, 0.0125, 0.95, 0.0125], [0.0125, 0.0125, 0.0125, 0.0125, 0.95]]]",None,simple-mlp,uniform,0.05,backward,_________________________________________________________________,0.10545111640536789,18.0,107.0,,2.0,5.0,80.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,35.7,,,8.868892669677734,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-389
"
